CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Female,44,38,27
229,Male,24,108,26
230,Male,66,132,20
231,Female,55,133,46
232,Male,19,61,45
233,Male,29,76,83
234,Female,27,112,18
235,Male,59,63,91
236,Male,30,23,1
237,Male,22,35,16
238,Female,49,122,40
239,Female,55,49,33
240,Male,43,83,50
241,Female,46,67,90
242,Male,60,80,25
243,Female,43,77,48
244,Female,43,29,29
245,Male,58,85,47
246,Female,24,92,80
247,Female,38,109,67
248,Female,36,29,35
249,Male,48,60,31
250,Female,69,123,72
251,Male,31,60,38
252,Male,18,44,13
253,Male,40,37,68
254,Male,28,17,43
255,Female,49,89,61
256,Female,27,64,97
257,Male,24,60,65
258,Male,25,91,49
259,Female,60,33,20
260,Female,41,63,66
261,Female,66,67,72
262,Male,54,50,60
263,Male,55,60,4
264,Male,35,45,39
265,Male,65,60,3
266,Male,23,71,91
267,Female,27,47,67
268,Female,43,104,43
269,Female,48,86,30
270,Male,29,102,67
271,Male,66,27,45
272,Female,58,59,84
273,Male,21,106,28
274,Male,34,118,66
275,Male,43,133,33
276,Female,25,105,3
277,Female,32,36,3
278,Female,33,20,13
279,Male,62,38,17
280,Male,29,19,92
281,Female,51,16,93
282,Female,35,21,94
283,Female,40,82,47
284,Female,35,102,20
285,Female,53,130,47
286,Female,25,86,58
287,Female,28,109,55
288,Male,19,31,40
289,Male,36,21,46
290,Male,30,62,97
291,Male,25,39,21
292,Male,47,66,1
293,Female,18,33,86
294,Male,42,27,45
295,Female,56,32,47
296,Male,45,95,94
297,Male,60,96,79
298,Female,69,28,2
299,Female,59,133,2
300,Male,57,39,43
301,Female,44,19,3
302,Male,48,111,55
303,Male,30,80,5
304,Female,21,94,89
305,Female,56,39,62
306,Male,58,51,72
307,Female,47,19,92
308,Female,27,131,54
309,Male,51,68,9
310,Female,38,121,91
311,Female,55,64,66
312,Female,23,69,2
313,Female,39,124,3
314,Male,51,93,46
315,Male,27,35,65
316,Female,62,62,15
317,Female,68,107,47
318,Male,65,98,87
319,Female,28,58,25
320,Male,44,122,60
321,Female,19,24,58
322,Female,22,24,33
323,Female,43,95,66
324,Female,28,56,17
325,Female,33,89,78
326,Female,42,95,35
327,Female,62,84,91
328,Female,27,112,88
329,Female,53,34,84
330,Female,40,94,32
331,Male,22,105,95
332,Female,21,79,45
333,Male,61,129,93
334,Male,54,61,41
335,Female,46,83,88
336,Male,30,85,54
337,Female,49,83,10
338,Male,56,33,63
339,Female,51,114,85
340,Female,25,19,88
341,Female,18,62,72
342,Male,39,75,42
343,Female,18,62,59
344,Male,34,89,60
345,Female,51,109,18
346,Female,48,29,62
347,Female,47,132,74
348,Male,34,79,95
349,Female,18,75,60
350,Male,25,136,97
351,Male,20,23,74
352,Male,69,68,22
353,Female,55,114,51
354,Male,31,70,46
355,Female,50,73,49
356,Female,28,93,72
357,Female,18,129,9
358,Male,28,33,20
359,Male,39,15,42
360,Female,28,103,59
361,Female,47,66,32
362,Male,65,89,27
363,Male,68,125,93
364,Female,54,108,61
365,Female,53,110,57
366,Female,44,125,33
367,Female,62,48,33
368,Male,68,132,3
369,Male,56,119,37
370,Male,64,24,38
371,Female,26,124,15
372,Male,22,87,18
373,Female,35,130,71
374,Female,48,37,61
375,Male,39,27,73
376,Female,60,61,44
377,Male,69,70,74
378,Male,57,29,44
379,Female,68,25,20
380,Male,41,36,90
381,Male,49,48,53
382,Male,54,97,48
383,Male,62,76,35
384,Female,51,40,7
385,Male,40,54,11
386,Male,45,86,91
387,Female,56,54,17
388,Female,28,23,48
389,Female,23,132,26
390,Female,34,135,86
391,Female,31,22,42
392,Female,64,123,74
393,Female,64,66,62
394,Female,61,130,79
395,Female,29,79,33
396,Female,63,48,90
397,Female,64,24,14
398,Female,27,105,81
399,Male,46,16,12
400,Male,50,117,32
401,Male,28,106,73
402,Male,42,85,48
403,Male,41,75,22
404,Male,30,90,38
405,Female,26,134,71
406,Female,55,73,90
407,Female,54,62,66
408,Female,64,117,97
409,Female,37,94,27
410,Male,54,90,7
411,Female,59,86,44
412,Male,62,116,3
413,Female,64,104,8
414,Male,31,35,84
415,Male,23,39,36
416,Female,63,24,14
417,Female,41,28,17
418,Male,32,70,63
419,Female,45,103,50
420,Female,48,75,57
421,Female,41,96,32
422,Female,68,96,3
423,Male,42,81,63
424,Female,54,53,64
425,Male,38,88,93
426,Female,67,114,58
427,Male,31,83,41
428,Male,42,60,54
429,Male,45,26,68
430,Female,64,44,98
431,Male,41,134,40
432,Female,20,136,38
433,Male,48,53,65
434,Female,69,101,79
435,Male,40,99,49
436,Female,19,24,7
437,Female,65,128,34
438,Female,34,66,17
439,Female,64,92,84
440,Female,60,103,42
441,Male,47,54,70
442,Male,69,131,55
443,Female,63,54,72
444,Male,25,98,90
445,Male,63,64,2
446,Female,29,29,6
447,Female,38,117,37
448,Male,26,64,65
449,Male,36,108,49
450,Male,66,29,16
451,Female,41,93,5
452,Female,47,108,9
453,Female,39,72,42
454,Female,54,30,98
455,Female,41,18,40
456,Male,32,27,41
457,Female,21,53,48
458,Male,60,19,44
459,Male,24,82,85
460,Male,68,34,46
461,Male,18,27,39
462,Male,43,67,56
463,Female,34,32,10
464,Male,63,106,66
465,Male,20,37,44
466,Female,49,66,68
467,Male,40,93,45
468,Male,56,122,9
469,Female,48,60,87
470,Female,47,116,95
471,Female,64,102,35
472,Male,63,104,72
473,Male,44,70,50
474,Male,69,31,71
475,Male,56,34,65
476,Female,45,103,56
477,Male,51,48,7
478,Male,65,108,1
479,Male,61,102,69
480,Male,61,63,53
481,Male,67,115,2
482,Female,26,78,22
483,Female,52,115,48
484,Male,42,18,62
485,Male,27,61,77
486,Male,56,28,6
487,Female,50,22,85
488,Female,34,99,87
489,Female,58,21,42
490,Male,55,22,77
491,Female,58,90,65
492,Female,22,119,79
493,Male,61,113,92
494,Female,28,115,16
495,Female,47,15,46
496,Male,27,134,83
497,Female,69,31,27
498,Female,26,39,30
499,Male,19,70,56
500,Male,29,106,70
501,Female,19,96,46
502,Female,55,95,73
503,Female,36,28,38
504,Male,43,57,79
505,Female,27,64,14
506,Female,64,108,52
507,Male,27,118,50
508,Female,37,119,95
509,Male,27,121,60
510,Female,53,92,51
511,Female,19,62,72
512,Male,43,99,85
513,Male,54,24,15
514,Female,24,81,92
515,Male,59,118,69
516,Female,37,98,16
517,Male,45,41,32
518,Female,62,110,75
519,Female,44,33,52
520,Female,62,90,57
521,Male,40,86,65
522,Female,20,18,17
523,Female,19,47,7
524,Male,61,117,17
525,Female,67,55,45
526,Female,49,66,69
527,Male,33,15,67
528,Male,36,103,34
529,Female,22,122,36
530,Female,52,19,35
531,Female,24,128,29
532,Male,21,134,11
533,Male,42,20,46
534,Female,27,83,82
535,Male,19,40,38
536,Female,44,136,23
537,Male,67,77,82
538,Male,44,90,82
539,Male,32,130,58
540,Male,27,87,98
541,Male,44,114,12
542,Male,63,111,29
543,Female,60,124,16
544,Female,41,64,15
545,Female,50,45,70
546,Male,30,126,56
547,Female,50,38,77
548,Male,52,83,46
549,Male,25,100,77
550,Female,60,58,50
551,Male,55,60,60
552,Female,44,19,52
553,Female,69,99,84
554,Female,56,125,32
555,Female,35,45,54
556,Female,26,51,71
557,Male,66,73,95
558,Female,49,101,30
559,Male,38,20,59
560,Male,64,79,62
561,Male,65,55,21
562,Female,25,73,70
563,Female,20,63,64
564,Male,39,81,40
565,Female,49,131,35
566,Male,21,43,67
567,Female,67,17,68
568,Male,65,33,9
569,Male,23,123,16
570,Female,51,22,42
571,Male,32,22,77
572,Male,48,95,53
573,Male,47,48,80
574,Male,41,64,17
575,Male,24,102,21
576,Female,40,23,28
577,Female,61,135,29
578,Female,52,107,31
579,Male,49,104,39
580,Male,31,64,37
581,Female,26,34,54
582,Male,19,62,7
583,Female,39,83,27
584,Male,35,78,46
585,Male,46,42,44
586,Male,24,92,23
587,Male,36,125,48
588,Male,38,94,69
589,Male,55,108,4
590,Male,38,122,1
591,Male,20,53,6
592,Male,35,45,76
593,Male,27,117,86
594,Male,47,50,93
595,Female,62,59,72
596,Male,64,75,25
597,Male,68,18,52
598,Male,22,28,89
599,Male,50,101,36
600,Female,58,67,51
601,Male,44,122,10
602,Male,31,29,36
603,Male,62,126,38
604,Female,21,77,16
605,Male,52,82,94
606,Male,41,136,98
607,Male,47,80,73
608,Female,56,21,64
609,Male,53,44,70
610,Male,37,129,31
611,Male,65,79,81
612,Female,41,74,1
613,Female,21,126,98
614,Male,51,78,88
615,Male,62,60,50
616,Male,58,80,6
617,Male,21,44,52
618,Female,34,128,11
619,Female,66,70,3
620,Female,25,130,62
621,Female,44,18,37
622,Female,30,59,6
623,Female,67,123,78
624,Female,40,39,52
625,Female,66,126,58
626,Female,42,42,28
627,Female,47,133,89
628,Male,44,109,83
629,Male,59,110,84
630,Male,55,105,93
631,Female,40,91,2
632,Male,43,121,79
633,Female,33,75,76
634,Female,48,34,43
635,Male,52,36,39
636,Male,54,119,9
637,Female,40,78,56
638,Male,69,119,83
639,Female,28,57,12
640,Female,45,23,46
641,Male,68,63,72
642,Male,44,107,24
643,Female,19,29,81
644,Female,60,135,78
645,Female,44,37,74
646,Male,20,124,7
647,Female,27,111,7
648,Male,40,76,79
649,Male,21,123,86
650,Male,68,117,67
651,Male,44,103,63
652,Male,55,20,70
653,Male,54,80,85
654,Male,24,96,82
655,Male,18,20,45
656,Female,35,98,16
657,Female,24,25,19
658,Male,44,80,1
659,Female,65,86,42
660,Female,67,73,31
661,Male,29,52,74
662,Male,19,77,5
663,Female,55,46,56
664,Male,22,78,93
665,Female,45,116,45
666,Male,26,91,83
667,Female,23,95,48
668,Female,54,129,22
669,Male,61,77,31
670,Female,53,55,82
671,Female,55,111,27
672,Female,61,87,27
673,Male,49,68,57
674,Male,24,22,16
675,Female,64,20,23
676,Female,45,113,33
677,Male,23,77,28
678,Female,67,58,86
679,Female,51,66,55
680,Male,40,119,1
681,Male,48,107,13
682,Male,48,100,79
683,Male,69,119,93
684,Male,61,79,88
685,Female,61,75,49
686,Male,53,85,65
687,Female,47,27,35
688,Female,32,129,50
689,Male,34,64,5
690,Female,63,51,55
691,Female,27,97,27
692,Male,30,106,61
693,Male,43,102,49
694,Female,35,122,94
695,Female,35,92,17
696,Male,20,101,55
697,Female,24,40,84
698,Female,27,18,70
699,Female,37,66,72
700,Male,22,51,24
701,Female,18,122,24
702,Male,48,131,44
703,Male,35,135,20
704,Female,46,91,23
705,Male,36,53,54
706,Female,22,120,55
707,Female,68,20,78
708,Female,41,108,77
709,Female,68,36,38
710,Male,30,120,97
711,Male,60,89,68
712,Female,32,99,37
713,Female,25,123,12
714,Male,48,51,54
715,Male,63,22,3
716,Female,40,85,59
717,Female,57,59,16
718,Male,63,59,60
719,Female,33,108,42
720,Female,32,115,42
721,Male,38,123,75
722,Female,58,124,98
723,Female,29,38,17
724,Female,21,16,38
725,Female,48,78,61
726,Female,59,44,70
727,Male,29,77,59
728,Male,52,52,37
729,Female,46,26,44
730,Female,47,104,50
731,Male,27,130,51
732,Male,64,46,64
733,Female,59,98,43
734,Male,23,30,12
735,Female,64,73,86
736,Male,46,120,79
737,Female,69,103,62
738,Male,28,35,39
739,Female,59,105,86
740,Male,64,134,62
741,Male,49,22,85
742,Female,37,71,62
743,Female,31,40,50
744,Female,46,77,76
745,Female,44,59,88
746,Male,28,100,78
747,Female,51,108,23
748,Male,48,19,81
749,Male,22,135,44
750,Female,41,46,35
751,Female,59,115,93
752,Female,40,125,25
753,Male,41,30,89
754,Male,18,101,47
755,Male,19,88,51
756,Male,19,122,78
757,Female,50,85,2
758,Female,60,43,90
759,Male,30,126,7
760,Male,33,41,69
761,Male,35,98,11
762,Male,33,100,71
763,Male,53,84,27
764,Female,46,76,11
765,Female,69,96,19
766,Male,44,136,50
767,Female,24,115,86
768,Female,43,92,56
769,Female,37,25,70
770,Female,21,23,9
771,Male,50,110,62
772,Female,28,118,73
773,Female,57,27,30
774,Male,69,76,78
775,Male,54,67,55
776,Female,63,105,38
777,Male,54,108,45
778,Male,66,131,8
779,Female,58,130,58
780,Female,39,96,21
781,Male,59,111,71
782,Female,42,118,64
783,Male,60,117,81
784,Female,23,127,79
785,Male,36,32,10
786,Male,33,117,27
787,Male,40,91,84
788,Male,40,69,6
789,Male,48,95,51
790,Female,39,39,96
791,Female,49,41,27
792,Female,24,65,64
793,Male,54,50,13
794,Female,68,49,87
795,Male,48,32,53
796,Female,68,36,71
797,Female,50,93,11
798,Female,54,119,55
799,Male,28,44,23
800,Male,38,23,57
801,Female,66,68,7
802,Female,40,44,51
803,Female,53,19,60
804,Male,23,15,16
805,Female,57,40,98
806,Female,19,108,50
807,Male,19,70,19
808,Male,56,99,23
809,Male,46,75,50
810,Female,54,60,94
811,Female,39,107,56
812,Male,25,112,94
813,Female,67,113,69
814,Female,31,67,65
815,Male,27,17,46
816,Male,62,133,16
817,Male,44,110,8
818,Female,56,106,72
819,Male,52,99,1
820,Female,38,110,52
821,Female,44,135,40
822,Female,33,15,75
823,Female,66,16,71
824,Male,59,120,13
825,Male,54,22,1
826,Male,69,57,69
827,Male,24,108,45
828,Female,68,22,52
829,Female,18,45,91
830,Male,59,115,26
831,Male,69,103,68
832,Male,52,64,93
833,Male,53,118,17
834,Male,33,66,65
835,Male,65,24,92
836,Male,23,78,71
837,Male,25,114,92
838,Female,44,51,28
839,Male,53,62,26
840,Male,22,27,3
841,Female,24,120,79
842,Male,64,75,53
843,Female,64,100,32
844,Male,36,120,66
845,Male,37,112,82
846,Male,18,136,58
847,Male,61,70,23
848,Male,23,29,33
849,Female,49,76,97
850,Female,57,94,15
851,Male,46,17,32
852,Female,39,127,97
853,Female,38,18,85
854,Male,52,53,14
855,Male,61,121,17
856,Male,22,78,75
857,Female,30,41,3
858,Female,62,75,67
859,Female,47,125,3
860,Male,37,52,68
861,Female,27,55,57
862,Female,32,108,5
863,Male,34,33,54
864,Male,60,17,79
865,Female,50,26,72
866,Male,52,31,48
867,Female,31,84,66
868,Male,38,66,59
869,Male,49,65,80
870,Female,36,15,22
871,Female,51,71,92
872,Female,69,34,87
873,Female,59,127,98
874,Female,67,118,35
875,Female,41,127,37
876,Female,61,128,16
877,Male,66,82,58
878,Female,60,107,73
879,Female,40,46,90
880,Male,19,48,8
881,Female,65,90,2
882,Male,58,102,88
883,Female,28,32,71
884,Female,45,88,31
885,Male,41,104,31
886,Male,39,21,69
887,Female,53,52,36
888,Male,37,87,54
889,Female,33,123,37
890,Female,26,114,71
891,Female,26,53,77
892,Female,51,127,51
893,Male,23,51,82
894,Female,25,134,62
895,Female,19,119,85
896,Female,41,69,35
897,Male,48,58,73
898,Female,52,40,97
899,Female,26,72,73
900,Male,30,97,19
901,Female,19,40,11
902,Female,61,80,90
903,Male,56,114,16
904,Female,34,71,24
905,Male,48,21,30
906,Male,42,54,58
907,Female,47,44,84
908,Male,45,111,35
909,Male,18,103,67
910,Female,38,44,37
911,Female,58,119,96
912,Male,32,77,66
913,Female,33,49,40
914,Male,40,26,2
915,Male,63,16,29
916,Female,32,25,80
917,Female,67,101,2
918,Female,20,128,66
919,Female,43,93,56
920,Female,19,79,21
921,Female,42,39,4
922,Female,28,130,59
923,Female,39,54,45
924,Male,38,32,82
925,Male,43,48,72
926,Male,32,60,86
927,Male,68,116,84
928,Female,68,44,69
929,Female,20,58,94
930,Male,53,97,16
931,Male,28,82,1
932,Male,26,108,86
933,Female,23,119,79
934,Male,45,22,55
935,Male,61,129,56
936,Female,47,100,21
937,Male,40,52,19
938,Female,66,51,16
939,Female,24,108,35
940,Male,33,68,83
941,Female,32,130,30
942,Male,61,117,51
943,Female,22,61,20
944,Male,52,73,51
945,Female,64,107,66
946,Female,67,91,17
947,Male,19,124,60
948,Male,22,92,23
949,Female,46,52,96
950,Male,66,123,97
951,Female,19,37,58
952,Female,31,54,53
953,Male,51,53,33
954,Female,36,79,14
955,Male,55,56,56
956,Male,54,58,18
957,Female,67,136,5
958,Male,59,29,40
959,Female,34,87,92
960,Female,30,71,22
961,Female,58,19,39
962,Female,20,135,95
963,Female,46,50,45
964,Male,40,131,73
965,Male,61,100,63
966,Female,48,92,4
967,Male,63,135,90
968,Male,58,71,64
969,Male,52,114,21
970,Female,56,134,84
971,Male,36,81,47
972,Female,48,56,36
973,Male,19,24,35
974,Male,68,47,60
975,Male,37,89,45
976,Female,54,51,35
977,Female,68,104,46
978,Male,26,125,43
979,Female,27,29,90
980,Female,42,130,95
981,Female,51,20,40
982,Female,25,84,16
983,Female,68,102,75
984,Female,37,21,31
985,Male,27,80,87
986,Male,30,93,65
987,Female,52,99,23
988,Female,27,54,41
989,Male,48,78,63
990,Male,59,120,42
991,Female,29,94,93
992,Female,43,58,9
993,Female,38,17,66
994,Female,24,104,84
995,Male,39,45,7
996,Female,24,107,58
997,Male,56,26,89
998,Male,21,105,19
999,Female,23,114,9
1000,Male,30,111,13
1001,Female,66,134,35
1002,Male,49,128,89
1003,Male,42,29,15
1004,Male,41,24,73
1005,Female,57,27,97
1006,Male,19,31,92
1007,Female,47,59,77
1008,Male,29,55,59
1009,Male,32,40,30
1010,Female,51,28,92
1011,Male,59,21,30
1012,Male,27,114,18
1013,Female,33,51,77
1014,Male,42,76,60
1015,Male,57,95,2
1016,Male,32,110,96
1017,Female,49,105,7
1018,Female,41,82,8
1019,Female,58,41,24
1020,Male,52,28,84
1021,Female,30,108,24
1022,Female,69,86,7
1023,Male,63,48,92
1024,Female,50,24,44
1025,Female,62,53,33
1026,Female,43,40,39
1027,Female,26,44,6
1028,Female,22,39,58
1029,Male,58,18,94
1030,Male,18,41,77
1031,Male,53,42,15
1032,Female,46,46,38
1033,Female,54,53,48
1034,Male,28,107,97
1035,Male,55,108,10
1036,Female,69,53,65
1037,Female,24,16,86
1038,Female,18,133,58
1039,Female,35,110,96
1040,Male,67,55,61
1041,Male,54,131,55
1042,Male,32,54,39
1043,Male,41,132,41
1044,Male,18,79,25
1045,Female,47,24,13
1046,Male,53,63,50
1047,Male,38,40,58
1048,Male,57,127,46
1049,Female,25,18,23
1050,Female,40,81,81
1051,Male,25,26,82
1052,Male,29,118,92
1053,Male,54,20,90
1054,Male,46,114,51
1055,Female,43,54,82
1056,Male,66,121,72
1057,Male,60,122,27
1058,Female,45,21,47
1059,Female,19,62,43
1060,Female,18,32,71
1061,Male,27,117,62
1062,Female,60,93,11
1063,Female,39,79,55
1064,Female,37,130,42
1065,Female,52,101,72
1066,Male,46,64,87
1067,Female,23,41,46
1068,Male,65,73,25
1069,Male,41,23,1
1070,Male,36,75,47
1071,Female,24,98,51
1072,Male,20,47,91
1073,Female,25,50,7
1074,Male,46,44,80
1075,Female,50,22,60
1076,Female,43,24,26
1077,Male,36,30,93
1078,Female,39,132,19
1079,Male,41,59,18
1080,Female,34,95,73
1081,Male,41,28,57
1082,Male,29,62,40
1083,Male,60,19,4
1084,Female,55,110,6
1085,Male,30,81,61
1086,Female,38,71,71
1087,Female,67,74,11
1088,Female,67,115,73
1089,Male,38,16,15
1090,Female,60,66,84
1091,Male,50,76,41
1092,Male,63,82,74
1093,Male,31,65,4
1094,Female,22,45,95
1095,Female,59,32,58
1096,Female,41,56,93
1097,Female,49,79,17
1098,Female,28,97,41
1099,Female,27,65,21
1100,Female,47,116,6
1101,Female,51,62,73
1102,Male,38,29,65
1103,Male,38,120,92
1104,Male,43,125,60
1105,Male,41,62,5
1106,Male,62,23,61
1107,Female,43,45,1
1108,Female,62,76,53
1109,Male,49,89,3
1110,Male,33,122,62
1111,Female,37,101,55
1112,Male,27,87,80
1113,Male,66,55,96
1114,Female,51,88,59
1115,Female,50,96,58
1116,Female,50,17,38
1117,Female,47,104,56
1118,Male,20,83,30
1119,Male,47,85,81
1120,Male,57,75,98
1121,Female,29,88,40
1122,Male,57,48,9
1123,Female,41,47,34
1124,Female,48,135,26
1125,Female,34,83,89
1126,Male,31,108,57
1127,Male,66,88,71
1128,Female,53,18,96
1129,Female,43,41,43
1130,Female,33,98,18
1131,Female,49,102,38
1132,Female,45,61,36
1133,Female,23,121,41
1134,Female,43,39,68
1135,Male,25,16,64
1136,Female,37,33,46
1137,Female,50,71,68
1138,Female,45,131,27
1139,Male,42,21,24
1140,Male,22,20,85
1141,Female,55,55,48
1142,Male,69,27,30
1143,Male,49,70,42
1144,Female,30,67,81
1145,Female,60,125,47
1146,Female,31,99,70
1147,Male,28,45,96
1148,Male,27,94,37
1149,Female,55,49,21
1150,Female,54,73,58
1151,Female,29,72,21
1152,Male,55,75,87
1153,Male,33,65,34
1154,Female,30,117,60
1155,Male,29,105,62
1156,Male,35,84,22
1157,Female,56,84,54
1158,Male,52,54,4
1159,Male,53,66,95
1160,Male,57,114,33
1161,Female,69,22,86
1162,Male,26,96,81
1163,Male,32,118,53
1164,Male,32,109,93
1165,Female,23,15,1
1166,Female,46,129,98
1167,Male,67,23,61
1168,Female,49,134,60
1169,Male,54,85,45
1170,Female,22,21,19
1171,Female,62,96,75
1172,Female,54,76,25
1173,Female,31,17,70
1174,Female,38,33,13
1175,Male,46,76,61
1176,Female,55,119,21
1177,Female,31,126,52
1178,Female,58,96,29
1179,Female,19,78,63
1180,Male,34,106,22
1181,Female,21,67,3
1182,Female,21,131,68
1183,Male,65,81,18
1184,Male,35,56,12
1185,Male,58,125,22
1186,Male,33,35,54
1187,Male,45,67,35
1188,Male,51,60,5
1189,Female,38,60,72
1190,Male,58,57,75
1191,Male,56,86,66
1192,Male,42,16,28
1193,Female,41,134,58
1194,Female,61,54,3
1195,Female,65,128,44
1196,Female,25,27,10
1197,Female,20,114,58
1198,Male,26,94,98
1199,Female,63,94,36
1200,Male,47,104,69
1201,Female,47,106,62
1202,Male,49,46,25
1203,Male,25,96,63
1204,Female,68,99,7
1205,Female,23,92,42
1206,Male,44,115,85
1207,Male,37,93,92
1208,Female,63,63,59
1209,Male,21,133,7
1210,Female,61,31,89
1211,Female,34,79,71
1212,Male,63,106,41
1213,Female,47,81,10
1214,Male,65,129,45
1215,Male,55,51,58
1216,Female,61,38,44
1217,Male,42,74,53
1218,Male,36,73,7
1219,Male,48,83,63
1220,Male,18,119,19
1221,Female,44,73,6
1222,Female,50,94,26
1223,Male,41,22,75
1224,Male,65,51,88
1225,Male,61,25,91
1226,Male,45,111,2
1227,Male,56,20,87
1228,Female,54,122,21
1229,Female,45,53,17
1230,Male,46,27,20
1231,Female,25,18,27
1232,Male,51,74,32
1233,Male,18,26,63
1234,Male,26,115,60
1235,Male,20,31,83
1236,Female,46,108,53
1237,Male,48,54,69
1238,Male,67,43,58
1239,Female,18,41,35
1240,Male,47,95,2
1241,Female,67,44,83
1242,Female,52,133,11
1243,Male,20,110,95
1244,Male,23,18,80
